,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Braden Holtby,WAS,24,16,3,4,2.8,66,738,672,.911,0,"1,412"
Frederik Andersen,TOR,25,15,7,3,2.5,62,783,721,.921,1,"1,500"
Connor Hellebuyck,WPG,25,15,7,2,2.3,51,759,708,.933,2,"1,368"
David Rittich,CGY,25,14,7,4,2.8,69,792,723,.913,2,"1,510"
Darcy Kuemper,ARI,21,13,6,2,2.0,42,649,607,.935,2,"1,283"
Jordan Binnington,STL,23,13,6,4,2.5,55,692,637,.921,1,"1,346"
Petr Mrazek,CAR,20,13,6,1,2.6,51,528,477,.903,2,"1,177"
Carey Price,MON,25,13,9,3,3.0,72,755,683,.905,1,"1,462"
Tuukka Rask,BOS,19,13,3,3,2.2,42,577,535,.927,2,"1,149"
Marc-Andre Fleury,VGK,21,12,6,2,2.5,50,634,584,.921,2,"1,219"
Ben Bishop,DAL,22,12,6,2,2.0,42,640,598,.934,1,"1,244"
Andrei Vasilevskiy,TB,21,12,8,1,2.8,59,652,593,.910,0,"1,255"
Martin Jones,SJ,26,12,12,1,3.3,79,724,645,.891,0,"1,468"
Joonas Korpisalo,CLS,23,12,10,1,2.8,63,649,586,.903,1,"1,344"
Sergei Bobrovsky,FLA,24,11,7,4,3.2,71,693,622,.898,1,"1,334"
Mikko Koskinen,EDM,19,11,4,2,2.7,49,573,524,.914,1,"1,080"
Philipp Grubauer,COL,18,10,5,2,2.8,46,537,491,.914,0,999
Thomas Greiss,NYI,15,10,4,0,2.3,31,440,409,.930,0,829
Pekka Rinne,NSH,17,10,4,3,2.9,46,447,401,.897,3,945
Semyon Varlamov,NYI,17,10,3,2,2.3,35,476,441,.926,1,929
Matt Murray,PIT,21,10,5,4,2.9,58,562,504,.897,1,"1,222"
Carter Hart,PHI,20,10,6,3,2.4,44,479,435,.908,1,"1,088"
Linus Ullmark,BUF,17,9,6,2,2.8,48,568,520,.915,1,"1,019"
John Gibson,ANH,23,9,12,2,2.8,64,709,645,.910,1,"1,360"
Jonathan Quick,LA,21,8,12,1,3.1,65,581,516,.888,0,"1,247"
Jacob Markstrom,VAN,19,8,8,3,2.7,52,590,538,.912,0,"1,149"
Alex Stalock,MIN,17,8,4,2,2.9,45,481,436,.906,1,928
Anders Nilsson,OTT,18,8,8,2,3.1,49,556,507,.912,0,971
MacKenzie Blackwood,NJ,22,8,9,4,3.0,63,641,578,.902,1,"1,260"
Alexandar Georgiev,NYR,14,8,5,1,2.7,34,460,426,.926,2,764
Pavel Francouz,COL,13,8,2,1,2.4,27,371,344,.927,0,684
Brian Elliott,PHI,15,7,3,2,2.7,35,411,376,.915,0,790
Jaroslav Halak,BOS,13,7,3,3,2.3,30,410,380,.927,2,788
Henrik Lundqvist,NYR,18,7,7,2,3.2,54,605,551,.911,0,"1,028"
Mike Smith,EDM,17,7,7,2,2.9,44,455,411,.903,1,916
Tristan Jarry,PIT,12,7,5,0,1.9,21,340,319,.938,2,655
Thatcher Demko,VAN,12,7,4,1,3.0,36,382,346,.906,0,720
Ilya Samsonov,WAS,10,7,2,1,2.4,24,289,265,.917,0,595
Corey Crawford,CHI,17,6,8,2,3.0,50,550,500,.909,1,994
Anton Khudobin,DAL,12,6,5,1,2.4,27,348,321,.922,0,678
James Reimer,CAR,12,6,5,0,2.6,30,364,334,.918,1,687
Carter Hutton,BUF,15,6,5,4,3.1,46,463,417,.901,2,906
Robin Lehner,CHI,16,6,5,4,2.7,40,565,525,.929,0,884
Jake Allen,STL,10,5,2,2,2.3,23,305,282,.925,1,591
Craig Anderson,OTT,16,5,8,0,3.0,42,426,384,.901,0,837
Jonathan Bernier,DET,19,5,9,2,3.4,60,538,478,.888,0,"1,055"
Antti Raanta,ARI,12,5,5,2,2.7,33,409,376,.919,1,727
Juuse Saros,NSH,15,4,6,2,3.0,40,384,344,.896,0,809
Laurent Brossoit,WPG,9,4,3,0,3.2,27,250,223,.892,0,503
Malcolm Subban,VGK,12,4,5,3,3.1,35,353,318,.901,0,690
Ryan Miller,ANH,9,4,2,2,3.0,25,271,246,.908,0,500
Devan Dubnyk,MIN,14,4,8,2,3.4,42,392,350,.893,0,751
Jack Campbell,LA,11,4,6,1,3.0,33,303,270,.891,0,662
Curtis McElhinney,TB,8,3,3,2,3.6,29,284,255,.898,0,481
Cam Talbot,CGY,9,3,5,0,3.1,25,268,243,.907,0,491
Aaron Dell,SJ,11,3,4,1,3.3,29,270,241,.893,0,525
Samuel Montembeault,FLA,7,3,2,1,3.3,20,180,160,.889,0,362
Kaapo Kahkonen,MIN,3,2,0,1,2.0,6,113,107,.947,0,185
Jimmy Howard,DET,14,2,11,1,4.0,47,415,368,.887,0,716
Chris Driedger,FLA,2,1,1,0,1.5,3,52,49,.942,1,118
Antoine Bibeau,COL,2,1,0,0,3.3,5,42,37,.881,0,92
Adam Werner,COL,2,1,1,0,3.4,5,58,53,.914,0,88
Keith Kinkaid,MON,6,1,1,3,4.3,24,192,168,.875,0,340
Louis Domingue,NJ,5,1,3,0,4.2,15,106,91,.858,0,215
Cayden Primeau,MON,2,1,1,0,2.5,5,72,67,.931,0,119
Marcus Hogberg,OTT,2,0,1,0,1.8,3,40,37,.925,0,99
Eric Comrie,DET,2,0,1,0,4.5,5,34,29,.853,0,68
Oscar Dansk,VGK,1,0,1,0,6.0,6,37,31,.838,0,60
Garret Sparks,VGK,1,0,0,0,4.4,2,14,12,.857,0,27
Kasimir Kaskisuo,TOR,1,0,1,0,6.0,6,38,32,.842,0,60
Elvis Merzlikins,CLS,8,0,4,3,3.3,25,235,210,.894,0,455
Cory Schneider,NJ,6,0,4,1,4.6,26,176,150,.852,0,340
Calvin Pickard,DET,1,0,1,0,6.1,6,35,29,.829,0,60
Michael Hutchinson,TOR,7,0,5,1,4.6,28,225,197,.876,0,369